Resource,Resource URL,Email-General,Phone-General,Address,Email-Contact,Contact,Phone-Contact,Resource Description,Resource Type,Facebook URL,Twitter URL,Instagram,Audience,Population Focus,Location,Campuses,College eligibility,Availability,Deadline,Innovation Type,Funding Amount if applicable,Topic,Technology,Client Tags,"Notes, estimated time to complete",Attachments,Approved,Approved by,Last updated,Flagged,Flagged comment,Process,Organization
Gloria W. Appel Award,https://entrepreneurship.berkeley.edu/fellowships/,entrepreneurship@haas.berkeley.edu,,,entrepreneurship@haas.berkeley.edu,,,"The Gloria W. Appel Award for Outstanding Leadership in Entrepreneurship is presented upon nomination by the Haas School community to a second-year MBA candidate of outstanding caliber who has made an extraordinary and lasting contribution to the entrepreneurship program at Haas. A $5,000 fellowship accompanies the award.","Funding & Grants,Fellowships & Scholarships",,,,Graduate Student,,UC Berkeley,Berkeley,,,4/14/2019,Startups,$5k,General,,BearX.co,,,,,,,,,
Interdisciplinary Faculty Programs,https://iis.berkeley.edu/funding-opportunities/interdisciplinary-faculty-programs,iis.grants@berkeley.edu,,,iis.grants@berkeley.edu,,,"The Interdisciplinary Faculty Program supports international, cross-campus research at Berkeley. Proposals that bring together faculty from different departments and disciplines will be given priority consideration in funding decisions.

The main purpose of the grant is to generate group conversations at Berkeley that are led by faculty who find a particular theme intellectually compelling.  Applicants should consider an approach that would bring as wide a Berkeley community into the conversation as possible, and group members must come from at least two different departments.  The maximum number of faculty members per group is four, and groups should appoint a coordinator.  IIS will support a required bimonthly (twice a month) meeting of the group to which three outside speakers may be invited each semester.  Speaker travel will be funded by the grant from IIS.

Grantees are expected to attend all bimonthly meetings of the group.  Grantees must submit a finalized schedule of outside speakers to IIS at the beginning of the semester.  Any events (outside speaker lectures, conferences, etc.) should be free and open to the public.  The grants to any one group will not run for more than two years.  An evaluation of the colloquia will be carried out at the end of the first year to assess whether the second year should be supported.  Proposals should mention if the culmination of the series could result in the publication of a book, an edited volume, or a special issue of a journal, which may also be supported by IIS.",Funding & Grants,,,,Faculty,,UC Berkeley,Berkeley,,,4/2/2018,,$30k/yr,General,,BearX.co,2-page project narrative,,,,,,,,
Academic Opportunity Fund,https://callink.berkeley.edu/organization/aavpgacademicopportunityfund,,,,,,,"The Academic Opportunity Fund awards grants for academic travel that enhances student access to valuable educational experiences beyond the classroom. The program provides opportunities for individuals and student groups to represent and further UC Berkeley's academic prestige and dedication to education. While most ASUC funding is restricted to on-campus activities, the Academic Opportunity Fund subsidizes off-campus academic pursuits - professional meetings, research conferences, academic competitions, and independent research.",Funding & Grants,,,,"Undergraduate Student,Graduate Student",,UC Berkeley,Berkeley,,,4/23/2019,,$500,General,,BearX.co,,,,,,,,,
Trione Startup Seed Grant,https://entrepreneurship.berkeley.edu/seed-funding/,,,,,,,"The Trione Student Venture Fund provides $5,000 grants and office space to early-stage startups involving current Haas students. The grants are intended for use in prototype development and customer discovery activities. These awards provide critical funding for high risk, high reward projects that best embody the Berkeley Haas Defining Principle to Question The Status Quo.",Funding & Grants,,,,Graduate Student,,UC Berkeley,Berkeley,,,4/26/2019,Startups,$5k,General,,BearX.co,6+ hours,,,,,,,,
Manuscript Mini-Conference Grants,https://iis.berkeley.edu/funding-opportunities/manuscript-mini-conference-grants,iis.grants@berkeley.edu,,,iis.grants@berkeley.edu,,,"Faculty members who have completed book manuscripts that are ready for review for publication may apply for funding for ""mini-conference” funding. The purpose of the mini-conference grant is to provide feedback to an author midway through the revision process.  Preference will be given to junior faculty and mid-career faculty.  Senior faculty who feel that they have completed a significant manuscript and would like to host a larger conference on the book prior to publication may also apply for support from IIS.  This grant has been supported since 2010, resulting in over 20 publications to date.

Conferences will typically be one day in length. Applicants may invite 2-3 outside discussants in their field to provide written feedback on the manuscript and facilitate discussion on specific chapters, as well as Berkeley faculty members. Ideally, applicants would also invite one graduate student from Berkeley to comment on the manuscript. Senior faculty members who have completed significant manuscripts with broad interdisciplinary appeal may apply for support for a larger conference around their book.",Funding & Grants,,,,Faculty,,UC Berkeley,Berkeley,,,4/29/2019,,$5k,General,,BearX.co,2-4 page manuscript synopsis,,,,,,,,
SBIR/STTR grants,https://sbir.nih.gov/apply/submission-dates,,,,,,,"The United States Congress created the SBIR program in 1982 and the STTR program in 1992. These programs congressionally require eligible governmental agencies to set aside a percentage of their extramural budget so that domestic small businesses can engage in R&D that has a strong potential for technology commercialization.

The SBIR program includes the following objectives:

Stimulate technological innovation;
Meet federal research and development needs;
Increase private sector commercialization of innovations developed through federal R&D funding; and
Foster and encourage participation in innovation and entrepreneurship by socially and economically disadvantaged persons and women-owned small businesses.",Funding & Grants,,,,,"Women,Under-represented minority,Low Income",United States,,,,4/5/2019,Startups,$250k-$2M,General,,"BearX.co,WITI",Couple of minutes.This application connects you with one of the staff members who will guide you through the appropriate resources needed to accomplish your research goals.Link to application:https://ipira.berkeley.edu/concierge,,,,,,,,
Global Social Venture Competition,http://gsvc.org/,,,,,,,"The Global Social Venture Competition (GSVC) empowers the next generation of social entrepreneurs by providing them with mentoring, exposure, and over $80,000 in prizes to transform their ideas into ventures that address the world’s most pressing challenges using technology for good. Teams from across the globe learn how to design scalable models using the Lean Startup Methodology, a process that emphasizes stakeholder discovery, business innovation, and social impact assessment.","Funding & Grants,Competitions",,,,"Undergraduate Student,Graduate Student",,Bay Area,,,,,Startups,$10k-$40k,General,,BearX.co,More details about where and how to apply will be available later this fall.,,,,,,,,
Jack Larson Scholarship-Undergraduate,https://entrepreneurship.berkeley.edu/larson-scholarships/,entrepreneurship@haas.berkeley.edu,,,entrepreneurship@haas.berkeley.edu,,,"For the 2018-19 academic year, three to five awards of $2500 will be given to outstanding undergraduate students interested in entrepreneurship and who have shown a great need for support because of family hardship or who have overcome obstacles to be admitted to Haas. A faculty and staff committee will make the selections based on academic achievements, entrepreneurial experience, career goals, and financial need.","Funding & Grants,Fellowships & Scholarships",,,,"Undergraduate Student,Graduate Student","Under-represented minority,Low Income",UC Berkeley,Berkeley,,,,Startups,$2.5k,General,,BearX.co,,,,,,,,,
Mildred Jordan Sharp Scholarship,http://alumni.berkeley.edu/community/scholarships/other-scholarships/mildred-jordan-sharp-scholarship,,,,,,,"The Mildred Jordan Sharp Scholarship is a one-year, merit-based award that recognizes female Juniors at UC Berkeley who have demonstrated leadership, service, academics, and personal development in pursuit of a specific future goal or career. Type: Undergraduate Study","Funding & Grants,Fellowships & Scholarships",,,,Undergraduate Student,Women,UC Berkeley,Berkeley,,,,,$750-$3k,General,,"BearX.co,WITI",Application Form: Yes,,,,,,,,
LAUNCH,https://www.uclaunch.com/,launch@berkeley.edu,,,launch@berkeley.edu,,,"LAUNCH is an accelerator built by, and for, Cal founders.
If you have a talented team, a working prototype, and a big vision, LAUNCH can help you turn your idea into a company. We’ve done it before — over 200 times, in fact — and our resources are at your disposal. 

We will guide you through the world-class Lean Launchpad curriculum; we’ll introduce you to venture capitalists and angel investors; we’ll give you an industry- or technology-veteran mentor; and we’ll connect you with the other 75 founders in your cohort plus all of our successful alumni. 

IN SHORT, WE’LL HELP YOU BUILD A FUNDABLE COMPANY.  ","Funding & Grants,Accelerators & Incubators",,,,,,California,All UC,,,,Startups,Varies,General,,BearX.co,\,,,,,,,,
Big Ideas @ Berkeley,https://bigideas.berkeley.edu/,dbicknell@berkeley.edu,,,dbicknell@berkeley.edu,,,"Big Ideas is an annual contest aimed at providing funding, support, and encouragement to interdisciplinary teams of students who have “big ideas.” Since its founding in 2006, Big Ideas has inspired innovative and high-impact student-led projects aimed at solving problems that matter to this generation. By encouraging novel proposals and then supporting concrete next steps, Big Ideas is helping contest winners make an impact all over the world.",Funding & Grants,,,,,,California,All UC,,,,Startups,Varies,General,,BearX.co,30 minutes,,,,,,,,
Jacobs Institute Grants,http://jacobsinstitute.berkeley.edu/the-jacobs-institute-innovation-catalysts/,jacobsinstitute@berkeley.edu,,,jacobsinstitute@berkeley.edu,,,"The Innovation Catalysts are awarded on a biannual basis, in January and September; several grants will be awarded during each grant cycle.

Two types of grants are offered in the Innovation Catalysts program:

Ignite grants are for in-progress projects, with existing prototypes and demonstrated potential for impact. Up to $2000 will be awarded for each project. Are you working on a project that you can’t imagine stopping once the semester ends? Apply for an Ignite grant!
Spark grants are for early-stage projects or ideas. Up to $500 will be awarded for each project. Do you have a great idea and seek funding to make it a reality? Apply for a Spark grant!",Funding & Grants,,,,,,UC Berkeley,Berkeley,,,,Startup Idea Stage,$500-$2k,General,,BearX.co,,,,,,,,,
